Time;Drehung_pA_01
0,000;0,000;
0,010;0,000;
0,020;0,000;
0,030;0,000;
0,040;0,000;
0,050;0,000;
0,060;0,000;
0,070;0,000;
0,080;0,000;
0,090;0,000;
0,100;0,000;
0,110;0,000;
0,120;0,000;
0,130;0,000;
0,140;0,000;
0,150;0,000;
0,160;0,000;
0,170;0,000;
0,180;0,000;
0,190;0,000;
0,200;0,000;
0,210;0,000;
0,220;0,000;
0,230;0,000;
0,240;0,000;
0,250;0,000;
0,260;0,000;
0,270;0,000;
0,280;0,000;
0,290;0,000;
0,300;0,000;
0,310;0,000;
0,320;0,000;
0,330;0,000;
0,340;0,000;
0,350;0,000;
0,360;0,000;
0,370;0,000;
0,380;0,000;
0,390;0,000;
0,400;0,000;
0,410;0,000;
0,420;0,000;
0,430;0,000;
0,440;0,000;
0,450;0,000;
0,460;0,000;
0,470;0,000;
0,480;0,000;
0,490;0,000;
0,500;0,000;
0,510;0,000;
0,520;0,000;
0,530;0,000;
0,540;0,000;
0,550;0,000;
0,560;0,000;
0,570;0,000;
0,580;0,000;
0,590;0,000;
0,600;0,000;
0,610;0,000;
0,620;0,000;
0,630;0,000;
0,640;0,000;
0,650;0,000;
0,660;0,000;
0,670;0,000;
0,680;0,000;
0,690;0,000;
0,700;0,000;
0,710;0,000;
0,720;0,000;
0,730;0,000;
0,740;0,000;
0,750;0,000;
0,760;0,000;
0,770;0,000;
0,780;0,000;
0,790;0,000;
0,800;0,000;
0,810;0,000;
0,820;0,000;
0,830;0,000;
0,840;0,000;
0,850;0,000;
0,860;0,000;
0,870;0,000;
0,880;0,000;
0,890;0,000;
0,900;0,000;
0,910;0,000;
0,920;0,000;
0,930;0,000;
0,940;0,000;
0,950;0,000;
0,960;0,000;
0,970;0,000;
0,980;0,000;
0,990;0,000;
1,000;0,000;
1,010;0,000;
1,020;0,000;
1,030;0,000;
1,040;2,000;
1,050;2,000;
1,060;7,000;
1,070;8,000;
1,080;15,000;
1,090;17,000;
1,100;25,000;
1,110;26,000;
1,120;40,000;
1,130;50,000;
1,140;53,000;
1,150;54,000;
1,160;66,000;
1,170;69,000;
1,180;82,000;
1,190;84,000;
1,200;97,000;
1,210;99,000;
1,220;115,000;
1,230;118,000;
1,240;128,000;
1,250;132,000;
1,260;149,000;
1,270;150,000;
1,280;164,000;
1,290;168,000;
1,300;181,000;
1,310;183,000;
1,320;200,000;
1,330;202,000;
1,340;214,000;
1,350;220,000;
1,360;235,000;
1,370;239,000;
1,380;250,000;
1,390;253,000;
1,400;269,000;
1,410;271,000;
1,420;288,000;
1,430;290,000;
1,440;304,000;
1,450;308,000;
1,460;322,000;
1,470;324,000;
1,480;342,000;
1,490;344,000;
1,500;356,000;
1,510;362,000;
1,520;376,000;
1,530;380,000;
1,540;396,000;
1,550;398,000;
1,560;410,000;
1,570;418,000;
1,580;428,000;
1,590;432,000;
1,600;448,000;
1,610;452,000;
1,620;459,000;
1,630;468,000;
1,640;477,000;
1,650;486,000;
1,660;495,000;
1,670;511,000;
1,680;513,000;
1,690;529,000;
1,700;531,000;
1,710;545,000;
1,720;549,000;
1,730;565,000;
1,740;568,000;
1,750;586,000;
1,760;588,000;
1,770;601,000;
1,780;602,000;
1,790;620,000;
1,800;624,000;
1,810;637,000;
1,820;638,000;
1,830;655,000;
1,840;658,000;
1,850;673,000;
1,860;676,000;
1,870;691,000;
1,880;692,000;
1,890;709,000;
1,900;710,000;
1,910;727,000;
1,920;730,000;
1,930;746,000;
1,940;750,000;
1,950;761,000;
1,960;764,000;
1,970;781,000;
1,980;784,000;
1,990;793,000;
2,000;800,000;
2,010;813,000;
2,020;820,000;
2,030;835,000;
2,040;837,000;
