Time	Drehung_pA_01
0	0
0,01	0
0,02	0
0,03	0
0,04	0
0,05	0
0,06	0
0,07	0
0,08	0
0,09	0
0,1	0
0,11	0
0,12	0
0,13	0
0,14	0
0,15	0
0,16	0
0,17	0
0,18	0
0,19	0
0,2	0
0,21	0
0,22	0
0,23	0
0,24	0
0,25	0
0,26	0
0,27	0
0,28	0
0,29	0
0,3	0
0,31	0
0,32	0
0,33	0
0,34	0
0,35	0
0,36	0
0,37	0
0,38	0
0,39	0
0,4	0
0,41	0
0,42	0
0,43	0
0,44	0
0,45	0
0,46	0
0,47	0
0,48	0
0,49	0
0,5	0
0,51	0
0,52	0
0,53	0
0,54	0
0,55	0
0,56	0
0,57	0
0,58	0
0,59	0
0,6	0
0,61	0
0,62	0
0,63	0
0,64	0
0,65	0
0,66	0
0,67	0
0,68	0
0,69	0
0,7	0
0,71	0
0,72	0
0,73	0
0,74	0
0,75	0
0,76	0
0,77	0
0,78	0
0,79	0
0,8	0
0,81	0
0,82	0
0,83	0
0,84	0
0,85	0
0,86	0
0,87	0
0,88	0
0,89	0
0,9	0
0,91	0
0,92	0
0,93	0
0,94	0
0,95	0
0,96	0
0,97	0
0,98	0
0,99	0
1	0
1,01	0
1,02	0
1,03	0
1,04	2
1,05	2
1,06	7
1,07	8
1,08	15
1,09	17
1,1	25
1,11	26
1,12	40
1,13	50
1,14	53
1,15	54
1,16	66
1,17	69
1,18	82
1,19	84
1,2	97
1,21	99
1,22	115
1,23	118
1,24	128
1,25	132
1,26	149
1,27	150
1,28	164
1,29	168
1,3	181
1,31	183
1,32	200
1,33	202
1,34	214
1,35	220
1,36	235
1,37	239
1,38	250
1,39	253
1,4	269
1,41	271
1,42	288
1,43	290
1,44	304
1,45	308
1,46	322
1,47	324
1,48	342
1,49	344
1,5	356
1,51	362
1,52	376
1,53	380
1,54	396
1,55	398
1,56	410
1,57	418
1,58	428
1,59	432
1,6	448
1,61	452
1,62	459
1,63	468
1,64	477
1,65	486
1,66	495
1,67	511
1,68	513
1,69	529
1,7	531
1,71	545
1,72	549
1,73	565
1,74	568
1,75	586
1,76	588
1,77	601
1,78	602
1,79	620
1,8	624
1,81	637
1,82	638
1,83	655
1,84	658
1,85	673
1,86	676
1,87	691
1,88	692
1,89	709
1,9	710
1,91	727
1,92	730
1,93	746
1,94	750
1,95	761
1,96	764
1,97	781
1,98	784
1,99	793
2	800
2,01	813
2,02	820
2,03	835
2,04	837
