Time	Drehung_pA_01
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
 	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
44562	0
44593	0
44621	0
44652	2
44682	2
44713	7
44743	8
44774	15
44805	17
44562	25
44866	26
44896	40
41275	50
41640	53
42005	54
42370	66
42736	69
43101	82
43466	84
44593	97
44197	99
44562	115
44927	118
45292	128
45658	132
46023	149
46388	150
46753	164
47119	168
44621	181
11324	183
11689	200
12055	202
12420	214
12785	220
13150	235
13516	239
13881	250
14246	253
44652	269
14977	271
15342	288
15707	290
16072	304
16438	308
16803	322
17168	324
17533	342
17899	344
44682	356
18629	362
18994	376
19360	380
19725	396
20090	398
20455	410
20821	418
21186	428
21551	432
44713	448
22282	452
22647	459
23012	468
23377	477
23743	486
24108	495
24473	511
24838	513
25204	529
44743	531
25934	545
26299	549
26665	565
27030	568
27395	586
27760	588
28126	601
28491	602
28856	620
44774	624
29587	637
29952	638
30317	655
30682	658
31048	673
31413	676
31778	691
32143	692
32509	709
44805	710
33239	727
33604	730
33970	746
34335	750
34700	761
35065	764
35431	781
35796	784
36161	793
2	800
44563	813
44594	820
44622	835
44653	837
